country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
Thailand,142,35,764,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/xs55md39h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qj72p868k),thailand_s1t2
Bahamas,19,29,44,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/t722hb658),the_bahamas_s3t8
Togo,2,11,768,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/fj236325p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qf85nd104),togo_s1t1
Tonga,9,61,776,3,8,,,tonga_s3t8
Trinidad and Tobago,19,29,780,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9c67wp39g),trinidad_and_tobago_s3t8
Tunisia,2,15,788,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/8910jv77j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kp78gj27x),tunisia_s5t11
Turkey,142,145,792,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),,turkey_s3t8
Turkmenistan,142,143,795,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/4m90dx24j),turkmenistan_s3t8
Turks and Caicos Islands,19,29,796,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/cv43nz30q),turks_and_caicos_islands_s3t8
Uganda,2,14,800,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/hh63sx004),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/7d278v62s),uganda_s1t1
Ukraine,150,151,804,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/08612q18f),ukraine_s5t11
United Arab Emirates,142,145,784,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5138jg718),united_arab_emirates_s5t11
